"",区站号,省份,站名,纬度,经度
141,59133.0,福建,崇武,24.54,118.55
142,59134.0,福建,厦门,24.29,118.04
143,59320.0,福建,诏安,23.45,117.08
144,59322.0,福建,云霄,23.59,117.22
145,52323.0,甘肃,马鬃山,41.48,97.02
146,52515.0,甘肃,肃北,39.31,94.52
147,52533.0,甘肃,酒泉,39.46,98.29
148,52546.0,甘肃,高台,39.22,99.5
149,52557.0,甘肃,临泽,39.09,100.1
150,52643.0,甘肃,肃南,38.5,99.37
151,52652.0,甘肃,张掖,39.05,100.17
152,52656.0,甘肃,民乐,38.26,100.49
153,52674.0,甘肃,永昌,38.14,101.58
154,52679.0,甘肃,武威,37.55,102.4
155,52681.0,甘肃,民勤,38.38,103.05
156,52784.0,甘肃,古浪,37.28,102.54
157,52787.0,甘肃,乌鞘岭,37.12,102.52
158,52797.0,甘肃,景泰,37.11,104.03
159,52881.0,甘肃,天祝,36.59,103.11
160,52884.0,甘肃,皋兰,36.21,103.57
161,52885.0,甘肃,永登,36.45,103.15
162,52895.0,甘肃,靖远,36.34,104.41
163,52896.0,甘肃,白银,36.33,104.09
164,52978.0,甘肃,夏河,35.12,102.31
165,52980.0,甘肃,永靖,35.58,103.18
166,52981.0,甘肃,东乡,35.41,103.23
167,52982.0,甘肃,广河,35.29,103.33
168,52983.0,甘肃,榆中,35.52,104.09
169,52984.0,甘肃,临夏,35.35,103.11
170,52985.0,甘肃,和政,35.25,103.2
171,52986.0,甘肃,临洮,35.22,103.52
172,52988.0,甘肃,康乐,35.22,103.43
173,52993.0,甘肃,会宁,35.41,105.04
174,52995.0,甘肃,安定,35.35,104.37
175,52996.0,甘肃,华家岭,35.23,105.01
176,52998.0,甘肃,渭源,35.08,104.12
177,53821.0,甘肃,环县,36.34,107.18
178,53829.0,甘肃,庆城,35.59,107.54
179,53906.0,甘肃,静宁,35.31,105.43
180,53908.0,甘肃,通渭,35.13,105.14
181,53915.0,甘肃,崆峒,35.33,106.4
182,53917.0,甘肃,庄浪,35.13,106.04
183,53923.0,甘肃,西峰,35.44,107.38
184,53924.0,甘肃,灵台,35.04,107.37
185,53925.0,甘肃,镇原,35.41,107.11
186,53926.0,甘肃,泾川,35.21,107.21
187,53927.0,甘肃,华亭,35.12,106.37
188,53928.0,甘肃,崇信,35.18,107.01
189,53930.0,甘肃,华池,36.27,107.59
190,53934.0,甘肃,合水,35.47,107.59
191,53935.0,甘肃,正宁,35.29,108.24
192,53937.0,甘肃,宁县,35.31,107.55
193,56071.0,甘肃,碌曲,34.35,102.3
194,56074.0,甘肃,玛曲,34.0,102.05
195,56080.0,甘肃,合作,35.0,102.54
196,56081.0,甘肃,临潭,34.42,103.21
197,56082.0,甘肃,卓尼,34.35,103.3
198,56084.0,甘肃,迭部,34.04,103.14
199,56091.0,甘肃,漳县,34.51,104.28
200,56092.0,甘肃,陇西,35.0,104.39
201,56093.0,甘肃,岷县,34.26,104.01
202,56094.0,甘肃,舟曲,33.47,104.22
203,56095.0,甘肃,宕昌,34.02,104.23
204,56096.0,甘肃,武都,33.24,104.55
205,56192.0,甘肃,文县,32.57,104.4
206,57001.0,甘肃,甘谷,34.45,105.2
207,57002.0,甘肃,秦安,34.51,105.39
208,57004.0,甘肃,武山,34.44,104.53
209,57006.0,甘肃,天水,34.35,105.45
210,57007.0,甘肃,礼县,34.11,105.11
211,57008.0,甘肃,西和,34.02,105.18
212,57011.0,甘肃,清水,34.45,106.09
213,57012.0,甘肃,张家川,34.59,106.12
214,57014.0,甘肃,麦积,34.34,105.52
215,57102.0,甘肃,成县,33.45,105.43
216,57105.0,甘肃,康县,33.2,105.36
217,57110.0,甘肃,徽县,33.47,106.05
218,57111.0,甘肃,两当,33.55,106.18
219,57988.0,广东,乐昌,25.09,113.21
220,57989.0,广东,仁化,25.04,113.46
221,57996.0,广东,南雄,25.05,114.15
222,59071.0,广东,连南,24.44,112.17
223,59072.0,广东,连州,24.48,112.22
224,59074.0,广东,连山,24.34,112.09
225,59075.0,广东,阳山,24.29,112.38
226,59081.0,广东,乳源,24.47,113.17
227,59082.0,广东,韶关,24.4,113.36
228,59087.0,广东,佛冈,23.53,113.31
229,59088.0,广东,英德,24.11,113.25
230,59090.0,广东,始兴,24.57,114.04
231,59094.0,广东,翁源,24.21,114.07
232,59096.0,广东,连平,24.22,114.29
233,59097.0,广东,新丰,24.03,114.12
234,59099.0,广东,和平,24.27,114.56
235,59106.0,广东,平远,24.35,115.54
236,59107.0,广东,龙川,24.07,115.17
237,59109.0,广东,兴宁,24.09,115.44
238,59114.0,广东,蕉岭,24.39,116.1
239,59116.0,广东,大埔,24.2,116.42
240,59117.0,广东,梅县,24.17,116.04
